source,target,weight
671378,17978,0.017
671378,1330022,0.017
671378,38746,0.012
671378,1240502,0.012
671378,6647633,0.012
671378,487539,0.009
671378,128598,0.009
671378,1088720,0.009
671378,332258,0.009
671378,1676871,0.009
671378,745164,0.009
671378,106511,0.006
671378,5317167,0.006
671378,977929,0.006
671378,33569,0.006
671378,67512,0.006
671378,909418,0.006
671378,76983,0.006
671378,692459,0.006
671378,4624,0.006
671378,1103796,0.006
671378,6677745,0.006
671378,142237,0.006
671378,143613,0.003
671378,94782,0.003
671378,65633,0.003
671378,483,1.0
671378,933880,0.906
671378,279900,0.058
671378,3317312,0.029
671378,5077,0.007
671378,314571,0.9
671378,671378,0.1
671378,5121,0.784
671378,744293,0.122
671378,4480082,0.041
671378,1448326,0.027
671378,93457,0.014
671378,10231,0.014
671378,744740,0.33
671378,119684,0.263
671378,671378,0.156
671378,276898,0.076
671378,704762,0.036
671378,69169,0.034
671378,1789,0.021
671378,3598734,0.019
671378,1424,0.01
671378,247140,0.01
671378,1880,0.006
671378,3596620,0.004
671378,927609,0.004
671378,3626419,0.004
671378,54012,0.004
671378,73962,0.004
671378,829,0.004
671378,1088987,0.002
671378,1002275,0.002
671378,3104489,0.002
671378,3045805,0.002
671378,1216870,0.002
671378,438160,0.002
671378,4278113,0.002
671378,8518239,0.002
671378,956326,0.002
671378,671378,0.965
671378,126905,0.018
671378,7069691,0.009
671378,29612,0.009
671378,98681,0.7
671378,169705,0.158
671378,419884,0.079
671378,3535675,0.007
671378,349621,0.006
671378,171054,0.005
671378,750822,0.004
671378,1261809,0.004
671378,80144,0.003
671378,2002591,0.003
671378,1016458,0.002
671378,85355,0.002
671378,134294,0.002
671378,29612,0.002
671378,33141,0.002
671378,1642796,0.002
671378,1390656,0.002
671378,1086582,0.002
671378,1697848,0.001
671378,1058672,0.001
671378,368084,0.001
671378,556268,0.001
671378,63777,0.001
671378,1364839,0.001
671378,58563,0.001
671378,132856,0.001
671378,81561,0.001
671378,588688,0.001
671378,107416,0.001
671378,1922470,0.001
671378,671378,1.0
671378,671378,1.0
671378,170299,0.554
671378,677252,0.13
671378,188768,0.082
671378,210406,0.079
671378,196390,0.047
671378,1591483,0.016
671378,39333,0.011
671378,4360421,0.008
671378,47554,0.007
671378,170197,0.007
671378,1661587,0.006
671378,12995,0.006
671378,2330158,0.006
671378,697037,0.004
671378,223758,0.004
671378,102497,0.003
671378,681288,0.003
671378,33569,0.003
671378,190132,0.003
671378,413034,0.003
671378,387,0.003
671378,832370,0.003
671378,274333,0.003
671378,6620594,0.001
671378,4126,0.001
671378,364903,0.001
671378,2552790,0.001
671378,822510,0.001
671378,1062951,0.001
671378,10985,0.001
671378,671378,1.0
671378,144427,0.853
671378,1123348,0.025
671378,599268,0.022
671378,516669,0.02
671378,203457,0.013
671378,697759,0.007
671378,2343714,0.006
671378,124073,0.004
671378,160829,0.004
671378,360115,0.004
671378,100689,0.004
671378,40791,0.004
671378,284103,0.003
671378,1035761,0.003
671378,883973,0.003
671378,104171,0.002
671378,424187,0.002
671378,1550710,0.002
671378,1153779,0.002
671378,786066,0.002
671378,1308874,0.002
671378,1223828,0.002
671378,863727,0.002
671378,803755,0.002
671378,125948,0.001
671378,392868,0.001
671378,947621,0.001
671378,100721,0.001
671378,1060119,0.001
671378,117453,0.001
671378,4732,0.612
671378,80577,0.055
671378,108,0.044
671378,83561,0.038
671378,1283,0.038
671378,574696,0.033
671378,671378,0.033
671378,9556,0.016
671378,46896,0.011
671378,3528,0.011
671378,282084,0.011
671378,1909539,0.011
671378,537838,0.005
671378,2035,0.005
671378,199831,0.005
671378,38544,0.005
671378,83411,0.005
671378,945935,0.005
671378,19101,0.005
671378,1209340,0.005
671378,218840,0.005
671378,1974,0.005
671378,1789,0.005
671378,483,0.005
671378,44229,0.005
671378,205482,0.005
671378,15251862,0.005
671378,5743,0.005
671378,671378,0.938
671378,408035,0.062
671378,484777,0.5
671378,1277832,0.333
671378,156237,0.167
671378,671378,0.854
671378,1789,0.033
671378,3598734,0.024
671378,639601,0.016
671378,3596620,0.016
671378,3045805,0.016
671378,54012,0.016
671378,1424,0.016
671378,569817,0.008
671378,2213682,0.996
671378,8518239,0.004
671378,1206121,1.0
671378,122102,0.462
671378,1153134,0.423
671378,113896,0.115
671378,66577,1.0
22204295,22204295,1.0
22204295,22204295,1.0
22204295,22204295,1.0
22204295,3686354,0.361
22204295,19660019,0.186
22204295,25068410,0.175
22204295,22204295,0.155
22204295,6054072,0.124
22204295,22204295,1.0
22204295,22204295,0.467
22204295,1172962,0.4
22204295,8321642,0.133
22204295,1589086,0.643
